80.86.112.0,80.86.127.255,4096,01/08/03,iNES GROUP SRL
80.96.0.0,80.97.255.255,131072,05/07/01,RNC
81.12.128.0,81.12.255.255,32768,06/06/02,Vodafone Romania S.A.
81.18.64.0,81.18.79.255,4096,15/01/02,RCS & RDS SA
81.18.80.0,81.18.95.255,4096,06/06/02,RCS & RDS SA
81.22.144.0,81.22.159.255,4096,25/01/06,NEXTGEN COMMUNICATIONS SRL
81.24.16.0,81.24.31.255,4096,15/02/06,Euroweb Romania S.A.
81.89.0.0,81.89.15.255,4096,21/06/02,UPC Romania SRL
81.89.16.0,81.89.31.255,4096,12/04/06,S.C. Teletrans S.A.
81.161.0.0,81.161.15.255,4096,12/07/12,
81.180.0.0,81.181.255.255,131072,04/02/03,RNC
81.196.0.0,81.196.255.255,65536,15/08/02,RCS & RDS SA
82.76.0.0,82.79.255.255,262144,14/07/03,RCS & RDS SA
82.137.0.0,82.137.63.255,16384,04/07/03,RCS & RDS SA
82.208.128.0,82.208.191.255,16384,18/09/03,UPC Romania SRL
83.103.128.0,83.103.255.255,32768,08/03/04,UPC Romania SRL
83.166.192.0,83.166.223.255,8192,09/06/04,iNES GROUP SRL
84.39.32.0,84.39.63.255,8192,31/08/12,SENSITIVE LINE S.R.L.
84.232.128.0,84.232.255.255,32768,08/06/04,RCS & RDS SA
84.239.0.0,84.239.127.255,32768,04/08/11,SC TECHNOLOGICAL SRL
84.243.64.0,84.243.127.255,16384,09/07/04,ROMTelecom S.A.
84.247.0.0,84.247.63.255,16384,08/10/04,
84.247.64.0,84.247.127.255,16384,11/10/04,iNES GROUP SRL
85.9.0.0,85.9.63.255,16384,11/02/05,GTS Telecom SRL
85.120.0.0,85.123.255.255,262144,09/02/05,RNC
85.186.0.0,85.186.255.255,65536,26/11/04,UPC Romania SRL
85.202.80.0,85.202.95.255,4096,12/11/07,
85.204.0.0,85.204.255.255,65536,13/01/05,
85.255.112.0,85.255.127.255,4096,10/08/12,
86.34.0.0,86.35.255.255,131072,15/04/05,ROMTelecom S.A.
